Product URL,Product Name,Product Price,Rating,Number of Reviews
N/A,N/A,"2,319.",N/A,N/A
N/A,N/A,N/A,N/A,N/A
https://www.amazon.in//Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1692730064&sprefix=ba%2Caps%2C283&sr=8-13,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",249,4.1,
https://www.amazon.in//Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1692730064&sprefix=ba%2Caps%2C283&sr=8-14,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9,
https://www.amazon.in//GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1692730064&sprefix=ba%2Caps%2C283&sr=8-15,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,199,3.7,
https://www.amazon.in//Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1692730064&sprefix=ba%2Caps%2C283&sr=8-16,Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,979,4.4,
https://www.amazon.in//Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1692730064&sprefix=ba%2Caps%2C283&sr=8-17,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),588,4.3,
https://www.amazon.in//Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1692730064&sprefix=ba%2Caps%2C283&sr=8-18,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,"1,049",4.0,
https://www.amazon.in//American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1692730064&sprefix=ba%2Caps%2C283&sr=8-19,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,399",4.2,
https://www.amazon.in//Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1692730064&sprefix=ba%2Caps%2C283&sr=8-20,Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Black,859,3.9,
https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozMjAzNTg4MDg1NjU1NTk4OjE2OTI3MzAwNjQ6c3BfYnRmOjIwMDYzMzYwNTY1Njk4OjowOjo&url=%2FMartucci-Waterproof-Backpack-College-Business%2Fdp%2FB0B1HM2ZGX%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692730064%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Martucci 16 inch 36L Casual Waterproof Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,599,3.8,
